客都梅州,#genre#

梅州，给你放心爱上五月的理由,https://video.meizhou.cn/fs/transcode/20240430/83e/45869_1714467113_transv.mp4
2024院士专家入百企进百校活动在梅州举行,https://video.meizhou.cn/fs/transcode/20240430/2cf/45874_1714467170_transv.mp4
马来西亚侨胞：刻苦耐劳的客家精神值得传承,https://video.meizhou.cn/fs/transcode/20240430/e16/45866_1714451009_transv.mp4
五华踢“福洞”挑战赛暨足球嘉年华活动启动,https://video.meizhou.cn/fs/transcode/20240430/2f0/45857_1714447241_transv.mp4
美丽客乡出古树，世外桃源产好茶,https://video.meizhou.cn/fs/transcode/20240426/cfe/45783_1714125798_transv.mp4
不可错过的梅州“香水茶”,https://video.meizhou.cn/fs/transcode/20240422/1dc/45724_1713772120_transv.mp4
反欺诈骗保宣传五句板,https://video.meizhou.cn/fs/transcode/20240417/c67/45606_1713344765_transv.mp4
相约梅州,https://video.meizhou.cn/fs/transcode/20230413/af5/38500_1681351437_transv.mp4
魅力梅州,http://video.meizhou.cn/fs/transcode/20201127/762/22782_1606449530_transv.mp4
MV丨《幸福客家年》,https://video.meizhou.cn/fs/transcode/20210209/44c/24982_1612842149_transv.mp4
MV丨一起爱上新梅州,https://video.meizhou.cn/fs/transcode/20230621/988/39659_1687345389_transv.mp4
MV丨追梦路上五华人,https://video.meizhou.cn/fs/transcode/20231117/0d5/43609_1700215720_transv.mp4
MV丨《HAKKA客家》童声版,https://video.meizhou.cn/fs/transcode/20220701/1ad/34127_1656677385_transv.mp4
MV丨客家童谣《小小萤火虫》,https://video.meizhou.cn/fs/transcode/20210531/842/27506_1622436107_transv.mp4




央视频道,#genre#


CCTV-1综合,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226514/index.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225588/index.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226428/index.m3u8
CCTV-4中文国际欧洲,http://cdn.u55u.cn/migu.php?id=cctv4o
CCTV-4中文国际美洲,http://cdn.u55u.cn/migu.php?id=cctv4a
CCTV-5体育,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226469/index.m3u8
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8
CCTV-7国防军事,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225733/index.m3u8
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226008/index.m3u8
CCTV-9纪录,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8
CCTV-10科教,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226473/index.m3u8
CCTV-11戏曲,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226565/index.m3u8
CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226568/index.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226571/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226591/index.m3u8
CCTV-15音乐,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226476/index.m3u8
CCTV-16奥林匹克,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226100/index.m3u8
CCTV-17农业农村,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225765/index.m3u8
CCTV-1综合,http://cdn.u55u.cn/migu.php?id=cctv1
CCTV-2财经,http://cdn.u55u.cn/migu.php?id=cctv2
CCTV-3综艺,http://cdn.u55u.cn/migu.php?id=cctv3
CCTV-4中文国际,http://cdn.u55u.cn/migu.php?id=cctv4
CCTV-5体育,http://cdn.u55u.cn/migu.php?id=cctv5
CCTV-5+体育赛事,http://cdn.u55u.cn/migu.php?id=cctv5p
CCTV-6电影,http://cdn.u55u.cn/migu.php?id=cctv6
CCTV-7国防军事,http://cdn.u55u.cn/migu.php?id=cctv7
CCTV-8电视剧,http://cdn.u55u.cn/migu.php?id=cctv8
CCTV-9纪录,http://cdn.u55u.cn/migu.php?id=cctv9
CCTV-10科教,http://cdn.u55u.cn/migu.php?id=cctv10
CCTV-12社会与法,http://cdn.u55u.cn/migu.php?id=cctv12
CCTV-13新闻,http://cdn.u55u.cn/migu.php?id=cctv13
CCTV-14少儿,http://cdn.u55u.cn/migu.php?id=cctv14
CCTV-15音乐,http://cdn.u55u.cn/migu.php?id=cctv15
CCTV-17农业农村,http://cdn.u55u.cn/migu.php?id=cctv17
CCTV-1综合,http://222.218.158.56:8181/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://222.218.158.56:8181/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://222.218.158.56:8181/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4中文国际,http://222.218.158.56:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://222.218.158.56:8181/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://222.218.158.56:8181/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://222.218.158.56:8181/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://222.218.158.56:8181/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://222.218.158.56:8181/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9纪录,http://222.218.158.56:8181/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://222.218.158.56:8181/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲,http://222.218.158.56:8181/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12社会与法,http://222.218.158.56:8181/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13新闻,http://222.218.158.56:8181/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://222.218.158.56:8181/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15音乐,http://222.218.158.56:8181/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16奥林匹克,http://222.218.158.56:8181/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17农业农村,http://222.218.158.56:8181/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://125.92.110.56:4022/udp/239.77.0.129:5146
CCTV-1综合,http://125.92.110.56:4022/udp/239.77.0.86:5146
CCTV-1综合,http://125.92.110.56:4022/udp/239.77.1.144:5146
CCTV-1综合,http://125.92.110.56:4022/udp/239.77.1.17:5146
CCTV-2财经,http://125.92.110.56:4022/udp/239.253.43.17:5146
CCTV-2财经,http://125.92.110.56:4022/udp/239.77.0.137:5146
CCTV-2财经,http://125.92.110.56:4022/udp/239.77.1.158:5146
CCTV-3综艺,http://125.92.110.56:4022/udp/239.77.0.169:5146
CCTV-3综艺,http://125.92.110.56:4022/udp/239.77.0.175:5146
CCTV-4中文国际,http://125.92.110.56:4022/udp/239.77.0.78:5146
CCTV-4中文国际,http://125.92.110.56:4022/udp/239.77.1.163:5146
CCTV-4中文国际,http://125.92.110.56:4022/udp/239.77.1.166:5146
CCTV-5体育,http://125.92.110.56:4022/udp/239.77.0.170:5146
CCTV-5体育,http://125.92.110.56:4022/udp/239.77.0.177:5146
CCTV-5+体育赛事,http://125.92.110.56:4022/udp/239.77.0.87:5146
CCTV-5+体育赛事,http://125.92.110.56:4022/udp/239.77.1.147:5146
CCTV-5+体育赛事,http://125.92.110.56:4022/udp/239.77.1.31:5146
CCTV-6电影,http://125.92.110.56:4022/udp/239.77.0.171:5146
CCTV-6电影,http://125.92.110.56:4022/udp/239.77.0.178:5146
CCTV-7国防军事,http://125.92.110.56:4022/udp/239.77.0.138:5146
CCTV-7国防军事,http://125.92.110.56:4022/udp/239.77.1.159:5146
CCTV-7国防军事,http://125.92.110.56:4022/udp/239.77.1.167:5146
CCTV-8电视剧,http://125.92.110.56:4022/udp/239.77.0.172:5146
CCTV-8电视剧,http://125.92.110.56:4022/udp/239.77.0.181:5146
CCTV-9纪录,http://125.92.110.56:4022/udp/239.77.0.135:5146
CCTV-9纪录,http://125.92.110.56:4022/udp/239.77.1.160:5146
CCTV-9纪录,http://125.92.110.56:4022/udp/239.77.1.168:5146
CCTV-10科教,http://125.92.110.56:4022/udp/239.77.0.134:5146
CCTV-10科教,http://125.92.110.56:4022/udp/239.77.1.113:5146
CCTV-10科教,http://125.92.110.56:4022/udp/239.77.1.169:5146
CCTV-11戏曲,http://125.92.110.56:4022/udp/239.77.1.238:5146
CCTV-12社会与法,http://125.92.110.56:4022/udp/239.77.0.136:5146
CCTV-12社会与法,http://125.92.110.56:4022/udp/239.77.1.109:5146
CCTV-12社会与法,http://125.92.110.56:4022/udp/239.77.1.170:5146
CCTV-13新闻,http://125.92.110.56:4022/udp/239.253.43.196:5146
CCTV-13新闻,http://125.92.110.56:4022/udp/239.77.0.188:5146
CCTV-14少儿,http://125.92.110.56:4022/udp/239.77.0.133:5146
CCTV-14少儿,http://125.92.110.56:4022/udp/239.77.1.161:5146
CCTV-14少儿,http://125.92.110.56:4022/udp/239.77.1.171:5146
CCTV-15音乐,http://125.92.110.56:4022/udp/239.77.1.239:5146
CCTV-16奥林匹克,http://125.92.110.56:4022/udp/239.77.0.165:5146
CCTV-16奥林匹克,http://125.92.110.56:4022/udp/239.77.1.76:5146
CCTV-17农业农村,http://125.92.110.56:4022/udp/239.77.1.121:5146
CCTV-12社会与法,http://121.27.126.103:809/hls/12/index.m3u8
CCTV-12社会与法,http://58.57.21.166:9901/tsfile/live/0012_1.m3u8
CCTV-12社会与法,http://110.80.17.38:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-12社会与法,http://1.24.190.98:10080/hls/12/index.m3u8
CCTV-13新闻,http://111.160.17.2:59901/tsfile/live/0013_1.m3u8
CCTV-13新闻,http://110.80.17.38:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-13新闻,http://60.174.137.146:9901/tsfile/live/0013_1.m3u8
CCTV-14少儿,http://110.80.17.38:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV-14少儿,http://iptv123.msns.cn:9901/tsfile/live/0014_1.m3u8
CCTV-15音乐,http://124.128.73.58:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-15音乐,http://111.160.17.2:59901/tsfile/live/0015_1.m3u8
