臺灣 Taiwan,#genre#
AXN,http://mhq.520131498.xyz/Smartv.php?id=axn_twn
CINEMAX,http://mhq.520131498.xyz/Smartv.php?id=cinemax_twn
EYE戲劇,http://mhq.520131498.xyz/Smartv.php?id=eyetvxiju_twn
EYE旅遊,http://mhq.520131498.xyz/Smartv.php?id=eyetvtravel_twn
HBO,http://mhq.520131498.xyz/Smartv.php?id=hbohd_twn
HBO Family,http://mhq.520131498.xyz/Smartv.php?id=fyi_twn
好萊塢電影台,http://mhq.520131498.xyz/Smartv.php?id=hollywoodmovies_twn
MTV Live,http://mhq.520131498.xyz/Smartv.php?id=mtvhd_twn
TLC旅遊生活,http://mhq.520131498.xyz/Smartv.php?id=tlc_twn
東森新聞,http://mhq.520131498.xyz/Smartv.php?id=ettvnews
TVBS HD,http://mhq.520131498.xyz/Smartv.php?id=tvbs
TVBS新聞台,http://mhq.520131498.xyz/Smartv.php?id=tvbs_n
TVBS歡樂台,http://mhq.520131498.xyz/Smartv.php?id=tvbshuanle_twn
三立台灣台,http://mhq.520131498.xyz/Smartv.php?id=sanlitaiwan
三立戲劇台,http://mhq.520131498.xyz/Smartv.php?id=sanlixiju_twn
三立綜合台,http://mhq.520131498.xyz/Smartv.php?id=sanlizhonghe
中天亞洲台,http://mhq.520131498.xyz/Smartv.php?id=ctiasia_twn
中天娱樂,http://mhq.520131498.xyz/Smartv.php?id=ctient
中天新聞HD,http://mhq.520131498.xyz/Smartv.php?id=ctinews
中天綜合,http://mhq.520131498.xyz/Smartv.php?id=ctizhonghe
亞洲旅遊台,http://mhq.520131498.xyz/Smartv.php?id=asiatravel_twn
亞洲美食,http://mhq.520131498.xyz/Smartv.php?id=afc_twn
八大戲劇,http://mhq.520131498.xyz/Smartv.php?id=badadrama
八大第一,http://mhq.520131498.xyz/Smartv.php?id=badafirst
八大綜合,http://mhq.520131498.xyz/Smartv.php?id=badazhonghe
公視,http://mhq.520131498.xyz/Smartv.php?id=ctv_taiwan
民視,http://mhq.520131498.xyz/Smartv.php?id=ftvhd_taiwan
民視第一台,http://mhq.520131498.xyz/Smartv.php?id=lunghuajingdian_twn
民視台灣台,http://mhq.520131498.xyz/Smartv.php?id=ftvtaiwan_twn
民視新聞台,http://mhq.520131498.xyz/Smartv.php?id=ftvnew_taiwan
