
📡央视高清👉放牛娃,#genre#
CCTV-1HD,http://183.92.4.163:4000/udp/228.0.0.1:6108
CCTV-2HD,http://183.92.4.163:4000/udp/228.0.0.2:6108
CCTV-3HD,http://183.92.4.163:4000/udp/228.0.0.156:7156
CCTV-4HD,http://183.92.4.163:4000/udp/228.0.0.143:7143
CCTV-5HD,http://183.92.4.163:4000/udp/228.0.0.112:6108
CCTV5＋HD,http://183.92.4.163:4000/udp/228.0.0.17:6108
CCTV-6HD,http://183.92.4.163:4000/udp/228.0.0.157:7157
CCTV-7HD,http://183.92.4.163:4000/udp/228.0.0.7:6108
CCTV-8HD,http://183.92.4.163:4000/udp/228.0.0.158:7158
CCTV-9HD,http://183.92.4.163:4000/udp/228.0.0.9:6108
CCTV-10HD,http://183.92.4.163:4000/udp/228.0.0.10:6108
CCTV-11HD,http://183.92.4.163:4000/udp/228.0.0.242:6108
CCTV-12HD,http://183.92.4.163:4000/udp/228.0.0.12:6108
CCTV-13HD,http://183.92.4.163:4000/udp/228.0.0.202:6108
CCTV-14HD,http://183.92.4.163:4000/udp/228.0.0.14:6108
CCTV-15,http://183.92.4.163:4000/udp/228.0.0.15:6108
CCTV-16HD,http://183.92.4.163:4000/udp/228.0.0.249:6108
CCTV-17HD,http://183.92.4.163:4000/udp/228.0.0.161:7161
CHC家庭影院,http://183.92.4.163:4000/udp/228.0.0.211:6108
CHC动作电影,http://183.92.4.163:4000/udp/228.0.0.212:6108
CHC高清电影,http://183.92.4.163:4000/udp/228.0.0.233:6108
第一剧场,http://183.92.4.163:4000/udp/228.0.0.235:6108
风云足球,http://183.92.4.163:4000/udp/228.0.0.236:6108
怀旧剧场,http://183.92.4.163:4000/udp/228.0.0.237:6108
逆天至尊,https://vip.lz-cdn14.com/20220613/1049_48533d15/index.m3u8

📡卫视高清👉放牛娃,#genre#
凤凰卫视高清,http://113.64.145.93:8081/hls/37/index.m3u8
凤凰资讯高清,http://113.64.145.93:8081/hls/36/index.m3u8
凤凰香港高清,http://113.64.145.93:8081/hls/38/index.m3u8
凤凰资讯,http://www.cdtriot.cn:9999/udp/239.93.0.118:2191
凤凰资讯,http://183.204.13.237/cee7354084e908e7d71a99f88ecd0c61.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
