🐦️｜直播推荐,#genre#
致敬追梦人,http://52bsj.vip:81/api/v3/file/get/129476/%E4%B8%8D%E5%86%8D%E7%8A%B9%E8%B1%AB.mp4?sign=_66lUNcLugM2-NZQdw7NltkhoYm4wsBEHLxF8dbuUN8%3D%3A0
不说再见,http://52bsj.vip:81/api/v3/file/get/159981/%E4%B8%8D%E8%AF%B4%E5%86%8D%E8%A7%81.mp4?sign=Dh1qLV_ENWTO66yyJI5_Tsfthi9y-Ixdl27nLkQCODg%3D%3A0
小虎队-爱,http://52bsj.vip:81/api/v3/file/get/159974/%E7%88%B1%E6%96%B9%E8%8C%B42.mp4?sign=7q_Gg-GzbIYm82974-1mnEvUWNPlL5tZaBVAE6pl-Hg%3D%3A0
匆匆那年,http://52bsj.vip:81/api/v3/file/get/159978/-%E5%8C%86%E5%8C%86%E6%96%B9%E8%8C%B4.mp4?sign=O3ChNf1AlfnBlil1_SNwabh42mb3IziH6cFCqkM7cvk%3D%3A0
这世界有那么多人,http://52bsj.vip:81/api/v3/file/get/159984/%E9%82%A3%E4%B9%88%E5%A4%9A%E4%BA%BA.mp4?sign=YkhL8-Huig3gMP2m0HUroMpeu9vsyFNObTWma1tZLuM%3D%3A0
公众号,http://52bsj.vip:81/api/v3/file/get/97712/%E4%B8%96%E7%95%8C%E7%AC%AC%E4%B8%80%E7%AD%891080P.mp4?sign=yfyEXgwHSQyoHzhqxAr-bxqgEtzxwmitGkOVfWPDKIY%3D%3A0
应用边界,https://vd2.bdstatic.com/mda-ndpg29kxui1g1xrj/sc/cae_h264_delogo/1650799724379445533/mda-ndpg29kxui1g1xrj.mp4
备用号,http://52bsj.vip:81/api/v3/file/get/97713/ba22f6ad1be11c9679f19bc8d866da15.mp4?sign=7T4la_UuJ8JzHAVur7ltNQwo6MqSkg5lQ6u2yh3XjOU%3D%3A0
多多应用汇,http://52bsj.vip:81/api/v3/file/get/98686/%E9%9F%A9%E5%9B%BD%E8%88%9E%E5%9B%A2.mp4?sign=ukUlD0f4xuTcY0LLB1dEF3zsjiimiBioZQDmliRGef8%3D%3A0
多多APP,http://52bsj.vip:81/api/v3/file/get/129480/%E6%B2%A7%E6%B5%B7%E4%B8%80%E5%A3%B0%E7%AC%91.mp4?sign=xePyCzwnjsEkFhQ16uNlI2ndDiyOUnTptvBgj5DAXqE%3D%3A0
多多影音,http://52bsj.vip:81/api/v3/file/get/155291/%E6%B1%9F%E6%B9%96%E8%B7%AF2.mp4?sign=BDXHOf0XO5XVPx6DLsiYohAY2yLlYHjpxWTommVNyk8%3D%3A0

🇨🇳｜️央视频道,#genre#	
CCTV1,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240127_1/playlist.m3u8?CONTENTID=00000110240127_1&AUTHINFO=FABqh274XDn8fkurD5614t+1RvYajgx+a3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom+XaXZYzB/QfYjeYzGgKhP/do+Xpr4quVxlkA+ubKvbU1XwJFRgrbX+nTs60JauQUrav8kLj/PH8LxkDFpzvkq75UfeY/VNDZygRZLw4j+Xtwhj/IuXf1hJAU0X+heT7g==&USERTOKEN=eHKuwve/35NVIR5qsO5XsuB0O2BhR0KR
CCTV2,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240244_1/playlist.m3u8?CONTENTID=00000110240244_1&AUTHINFO=FABqh274XDn8fkurD5614t+1RvYajgx+a3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom+XaXZYzB/QfYjeYzGgKhP/do+Xpr4quVxlkA+ubKvbU1XwJFRgrbX+nTs60JauQUrav8kLj/PH8LxkDFpzvkq75UfeY/VNDZygRZLw4j+Xtwhj/IuXf1hJAU0X+heT7g==&USERTOKEN=eHKuwve/35NVIR5qsO5XsuB0O2BhR0KR
CCTV3,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240245_1/playlist.m3u8?CONTENTID=00000110240245_1&AUTHINFO=FABqh274XDn8fkurD5614t+1RvYajgx+a3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom+XaXZYzB/QfYjeYzGgKhP/do+Xpr4quVxlkA+ubKvbU1XwJFRgrbX+nTs60JauQUrav8kLj/PH8LxkDFpzvkq75UfeY/VNDZygRZLw4j+Xtwhj/IuXf1hJAU0X+heT7g==&USERTOKEN=eHKuwve/35NVIR5qsO5XsuB0O2BhR0KR
CCTV4,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240316_1/playlist.m3u8?CONTENTID=00000110240316_1&AUTHINFO=FABqh274XDn8fkurD5614t+1RvYajgx+a3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom+XaXZYzB/QfYjeYzGgKhP/do+Xpr4quVxlkA+ubKvbU1XwJFRgrbX+nTs60JauQUrav8kLj/PH8LxkDFpzvkq75UfeY/VNDZygRZLw4j+Xtwhj/IuXf1hJAU0X+heT7g==&USERTOKEN=eHKuwve/35NVIR5qsO5XsuB0O2BhR0KR
CCTV5,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240246_1/playlist.m3u8?CONTENTID=00000110240246_1&AUTHINFO=FABqh274XDn8fkurD5614t+1RvYajgx+a3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom+XaXZYzB/QfYjeYzGgKhP/do+Xpr4quVxlkA+ubKvbU1XwJFRgrbX+nTs60JauQUrav8kLj/PH8LxkDFpzvkq75UfeY/VNDZygRZLw4j+Xtwhj/IuXf1hJAU0X+heT7g==&USERTOKEN=eHKuwve/35NVIR5qsO5XsuB0O2BhR0KR
CCTV5+,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240128_1/playlist.m3u8?CONTENTID=00000110240128_1&AUTHINFO=FABqh274XDn8fkurD5614t+1RvYajgx+a3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom+XaXZYzB/QfYjeYzGgKhP/do+Xpr4quVxlkA+ubKvbU1XwJFRgrbX+nTs60JauQUrav8kLj/PH8LxkDFpzvkq75UfeY/VNDZygRZLw4j+Xtwhj/IuXf1hJAU0X+heT7g==&USERTOKEN=eHKuwve/35NVIR5qsO5XsuB0O2BhR0KR
CCTV6,http://106.39.160.155/live.aishang.ctlcdn.com/00000110240247_1/playlist.m3u8?CONTENTID=00000110240247_1&AUTHINFO=FABqh274XDn8fkurD5614t+1RvYajgx+a3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom+XaXZYzB/QfYjeYzGgKhP/do+Xpr4quVxlkA+ubKvbU1XwJFRgrbX+nTs60JauQUrav8kLj/PH8LxkDFpzvkq75UfeY/VNDZygRZLw4j+Xtwhj/IuXf1hJAU0X+heT7g==&USERTOKEN=eHKuwve/35NVIR5qsO5XsuB0O2BhR0KR
