足球粤评,#genre#
㋊㏲熊猫杯U19赛⚽📡,http://120.77.28.4:8648/douyu.php?id=11531165
㍪⁰⁰中国🆚吉尔吉斯斯坦,http://rihou.cc:555/mp4?id=lndjj.mp4
🔊粤🎙️1讲波,http://rihou.cc:555/mp4?id=lndjj.mp4
🔊国🎙️1说球,http://rihou.cc:555/mp4?id=lndjj.mp4
㋊㏲世亚预C组第6轮⚽📡,http://120.77.28.4:8648/douyu.php?id=11531165
㍬⁰⁰中国🆚日本,http://rihou.cc:555/mp4?id=lndjj.mp4
🔊粤🎙️2讲波,http://rihou.cc:555/mp4?id=lndjj.mp4
🔊国🎙️2说球,http://rihou.cc:555/mp4?id=lndjj.mp4
㍬⁰⁰印尼🆚沙特,http://rihou.cc:555/mp4?id=lndjj.mp4
🔊粤🎙️3讲波,http://rihou.cc:555/mp4?id=lndjj.mp4
🔊国🎙️3说球,http://rihou.cc:555/mp4?id=lndjj.mp4
㋊㏳世亚预C组第6轮⚽📡,http://120.77.28.4:8648/douyu.php?id=11531165
㍚¹⁵巴林🆚澳大利亚,http://rihou.cc:555/mp4?id=lndjj.mp4
🔊粤🎙️4讲波,http://rihou.cc:555/mp4?id=lndjj.mp4
🔊国🎙️4说球,http://rihou.cc:555/mp4?id=lndjj.mp4
NBA咪咕,#genre#
抖姐舞看NBA,http://120.77.28.4:8648/douyu.php?id=11531165
NBA咪咕播01,http://111.13.111.242/000000001000/3000000001000005308/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId= 
NBA咪咕播02,http://111.13.111.242/000000001000/3000000001000005969/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
NBA咪咕播03,http://111.13.111.242/000000001000/3000000001000007218/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
NBA咪咕播04,http://111.13.111.242/000000001000/3000000001000008001/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
NBA咪咕播05,http://111.13.111.242/000000001000/3000000001000008176/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
