奥运2024频道,#genre#
ELTA奥运1台,https://api.btbt.im/live?id=elta-oly1
ELTA奥运2台,https://api.btbt.im/live?id=elta-oly2
ELTA奥运3台,https://api.btbt.im/live?id=elta-oly3
ELTA奥运4台,https://api.btbt.im/live?id=elta-oly4
ELTA奥运5台,https://api.btbt.im/live?id=elta-oly5
ELTA奥运6台,https://api.btbt.im/live?id=elta-oly6
ELTA奥运7台,https://api.btbt.im/live?id=elta-oly7
Astro OLY 1,https://api.btbt.im/live?id=astro-oly1
Astro OLY 2,https://api.btbt.im/live?id=astro-oly2
Astro OLY 3,https://api.btbt.im/live?id=astro-oly3
Astro OLY 4,https://api.btbt.im/live?id=astro-oly4
Astro OLY 5,https://api.btbt.im/live?id=astro-oly5
MyTVSuper奥运801,https://api.btbt.im/live?id=mytvsuper-oly801
MyTVSuper奥运802,https://api.btbt.im/live?id=mytvsuper-oly802
MyTVSuper奥运803,https://api.btbt.im/live?id=mytvsuper-oly803
MyTVSuper奥运804,https://api.btbt.im/live?id=mytvsuper-oly804
MyTVSuper奥运805,https://api.btbt.im/live?id=mytvsuper-oly805
MyTVSuper奥运806,https://api.btbt.im/live?id=mytvsuper-oly806
MyTVSuper奥运807,https://api.btbt.im/live

央视频道,#genre#
CCTV教育1,http://113.9.152.139:88/hls/94/index.m3u8
CCTV1,http://113.57.109.48:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
cctv1,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv1.m3u8
CCTV1,http://113.9.152.139:88:9003/hls/1/index.m3u8
CCTV教育1,http://113.9.149.250:88/hls/94/index.m3u8
CCTV1,http://113.9.152.139:88/hls/1/index.m3u8
CCTV1,http://110.241.190.30:808/hls/1/index.m3u8
CCTV1,/hls/1/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8?
CCTV2,http://113.9.152.139:88:9003/hls/2/index.m3u8
CETV2,http://113.9.152.139:88:9003/hls/19/index.m3u8
CCTV2,http://110.241.190.30:808/hls/2/index.m3u8
cctv2,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv2.m3u8
CCTV2,/hls/2/index.m3u8#http://113.9.149.250:88:80/wh7f454c46tw1338203950_2016505455/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8?
CCTV2,http://113.9.152.139:88/hls/2/index.m3u8
CCTV教育2,http://113.9.152.139:88/hls/95/index.m3u8
CCTV2,http://113.57.109.48:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV教育2,http://113.9.149.250:88/hls/95/index.m3u8
CCTV3,http://113.9.152.139:88/hls/3/index.m3u8
cctv3,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv3.m3u8
CCTV3,http://113.57.109.48:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,/hls/3/index.m3u8#http://113.9.149.250:88/wh7f454c46tw1956839526_-720028145/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3,http://110.241.190.30:808/hls/3/index.m3u8
CCTV3,http://113.9.152.139:88:9003/hls/3/index.m3u8
CCTV4,http://113.9.152.139:88/hls/4/index.m3u8
CCTV教育4,http://113.9.149.250:88/hls/96/index.m3u8
CCTV4,http://110.241.190.30:808/hls/4/index.m3u8
CCTV教育4,http://113.9.152.139:88/hls/96/index.m3u8
cctv4,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv4.m3u8
CETV4,http://113.9.152.139:88:9003/hls/20/index.m3u8
CCTV4,http://113.9.152.139:88:9003/hls/4/index.m3u8
CCTV4,http://113.57.109.48:1111/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,/hls/4/index.m3u8#http://113.9.149.250:88:80/wh7f454c46tw3883039393_1350507801/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
