台灣頻道,#genre#
民視,https://fm1077.serv00.net/anbo/index.php?id=336
民視,https://fm1077.serv00.net/anbo/index.php?id=2805
台視,https://fm1077.serv00.net/anbo/index.php?id=27
台視,https://fm1077.serv00.net/anbo/index.php?id=326
台視,https://fm1077.serv00.net/anbo/index.php?id=312
中視,https://fm1077.serv00.net/anbo/index.php?id=333
中視,https://fm1077.serv00.net/anbo/index.php?id=1041
華視,https://fm1077.serv00.net/anbo/index.php?id=32
華視,https://fm1077.serv00.net/anbo/index.php?id=2282
公視,https://fm1077.serv00.net/anbo/index.php?id=86
公視,https://fm1077.serv00.net/anbo/index.php?id=28
好消息,https://fm1077.serv00.net/anbo/index.php?id=104
客家電視,https://fm1077.serv00.net/anbo/index.php?id=76
緯來綜合,https://fm1077.serv00.net/anbo/index.php?id=2726
八大第一,https://fm1077.serv00.net/anbo/index.php?id=318
八大綜合,https://fm1077.serv00.net/anbo/index.php?id=2286
三立臺灣,https://fm1077.serv00.net/anbo/index.php?id=35
三立臺灣,https://fm1077.serv00.net/anbo/index.php?id=21
三立臺灣,https://fm1077.serv00.net/anbo/index.php?id=2436
三立都會,https://fm1077.serv00.net/anbo/index.php?id=2435
三立都會,https://fm1077.serv00.net/anbo/index.php?id=1001
三立都會,https://fm1077.serv00.net/anbo/index.php?id=38
東森綜合,https://fm1077.serv00.net/anbo/index.php?id=372
東森超視,https://fm1077.serv00.net/anbo/index.php?id=80
東森購物2,https://fm1077.serv00.net/anbo/index.php?id=1156
中天綜合,https://fm1077.serv00.net/anbo/index.php?id=54
中天綜合,https://fm1077.serv00.net/anbo/index.php?id=3072
中天娛樂,https://fm1077.serv00.net/anbo/index.php?id=324
TVBS歡樂,https://fm1077.serv00.net/anbo/index.php?id=40
八大精彩,https://fm1077.serv00.net/anbo/index.php?id=1024
JET綜合,https://fm1077.serv00.net/anbo/index.php?id=41
東森購物1,https://fm1077.serv00.net/anbo/index.php?id=1155
TVBS,https://fm1077.serv00.net/anbo/index.php?id=2273
TVBS,https://fm1077.serv00.net/anbo/index.php?id=16
緯來育樂,https://fm1077.serv00.net/anbo/index.php?id=338
緯來育樂（測試）,https://fm1077.serv00.net/anbo/index.php?id=2772
緯來日本,https://fm1077.serv00.net/anbo/index.php?id=337
緯來日本,https://fm1077.serv00.net/anbo/index.php?id=46
國興衛視,https://fm1077.serv00.net/anbo/index.php?id=65
信大電視,https://fm1077.serv00.net/anbo/index.php?id=422
八大娱乐,https://fm1077.serv00.net/anbo/index.php?id=105
公視3台,https://fm1077.serv00.net/anbo/index.php?id=1340
好消息2,https://fm1077.serv00.net/anbo/index.php?id=363
高點綜合,https://fm1077.serv00.net/anbo/index.php?id=99
中天亞洲,https://fm1077.serv00.net/anbo/index.php?id=2277
中天亞洲,https://fm1077.serv00.net/anbo/index.php?id=322
民視台灣,https://fm1077.serv00.net/anbo/index.php?id=36
龍華日韓,https://fm1077.serv00.net/anbo/index.php?id=382
豬哥亮歌廳秀,https://fm1077.serv00.net/anbo/index.php?id=75
豬哥會社,https://fm1077.serv00.net/anbo/index.php?id=103
ELTA娛樂台,https://fm1077.serv00.net/anbo/index.php?id=351
韓國娛樂,https://fm1077.serv00.net/anbo/index.php?id=73
靖天國際,https://fm1077.serv00.net/anbo/index.php?id=345
靖天育樂,https://fm1077.serv00.net/anbo/index.php?id=1029
靖天日本,https://fm1077.serv00.net/anbo/index.php?id=108
靖天歡樂,https://fm1077.serv00.net/anbo/index.php?id=51
三立綜合,https://fm1077.serv00.net/anbo/index.php?id=315
三立綜合,https://fm1077.serv00.net/anbo/index.php?id=2815
靖天資訊,https://fm1077.serv00.net/anbo/index.php?id=49
靖天綜合,https://fm1077.serv00.net/anbo/index.php?id=308
中視經典,https://fm1077.serv00.net/anbo/index.php?id=185
中視菁采,https://fm1077.serv00.net/anbo/index.php?id=74
TVBS精采,https://fm1077.serv00.net/anbo/index.php?id=66
TVBS精采,https://fm1077.serv00.net/anbo/index.php?id=117
年代much,https://fm1077.serv00.net/anbo/index.php?id=1359
ELTA綜合,https://fm1077.serv00.net/anbo/index.php?id=1137
東森購物3,https://fm1077.serv00.net/anbo/index.php?id=1584
MOMO購物1,https://fm1077.serv00.net/anbo/index.php?id=1585
MOMO購物2,https://fm1077.serv00.net/anbo/index.php?id=1586
美好購物1,https://fm1077.serv00.net/anbo/index.php?id=1591
美好購物2,https://fm1077.serv00.net/anbo/index.php?id=1592
大立電視,https://fm1077.serv00.net/anbo/index.php?id=1593
國會頻道１,https://fm1077.serv00.net/anbo/index.php?id=2614
國會頻道2,https://fm1077.serv00.net/anbo/index.php?id=420
海豚綜合,https://fm1077.serv00.net/anbo/index.php?id=262
台灣地震監視,https://fm1077.serv00.net/anbo/index.php?id=2637
中視經典綜藝,https://fm1077.serv00.net/anbo/index.php?id=2773
第一名電視,https://fm1077.serv00.net/anbo/index.php?id=216
萬秀豬王,https://fm1077.serv00.net/anbo/index.php?id=2978
三立新聞,https://fm1077.serv00.net/anbo/index.php?id=43
三立新聞,https://fm1077.serv00.net/anbo/index.php?id=2794
三立新聞,https://fm1077.serv00.net/anbo/index.php?id=2392
三立新聞+,https://fm1077.serv00.net/anbo/index.php?id=320
東森新聞,https://fm1077.serv00.net/anbo/index.php?id=1025
東森新聞4,https://fm1077.serv00.net/anbo/index.php?id=2766
東森新聞,https://fm1077.serv00.net/anbo/index.php?id=1358
東森新聞,https://fm1077.serv00.net/anbo/index.php?id=2393
東森亞洲,https://fm1077.serv00.net/anbo/index.php?id=3
中天新聞2台,https://fm1077.serv00.net/anbo/index.php?id=152
中天新聞,https://fm1077.serv00.net/anbo/index.php?id=2420
民視新聞,https://fm1077.serv00.net/anbo/index.php?id=2395
民視新聞,https://fm1077.serv00.net/anbo/index.php?id=13
TVBS新聞,https://fm1077.serv00.net/anbo/index.php?id=2736
TVBS新聞,https://fm1077.serv00.net/anbo/index.php?id=2
TVBS新聞,https://fm1077.serv00.net/anbo/index.php?id=2396
東森財經,https://fm1077.serv00.net/anbo/index.php?id=2397
東森財經,https://fm1077.serv00.net/anbo/index.php?id=12
華視新聞,https://fm1077.serv00.net/anbo/index.php?id=2424
華視新聞,https://fm1077.serv00.net/anbo/index.php?id=1171
三立iNEWS,https://fm1077.serv00.net/anbo/index.php?id=6
台視新聞,https://fm1077.serv00.net/anbo/index.php?id=2399
台視新聞,https://fm1077.serv00.net/anbo/index.php?id=1
中視新聞,https://fm1077.serv00.net/anbo/index.php?id=2400
寰宇新聞,https://fm1077.serv00.net/anbo/index.php?id=2401
寰宇新聞,https://fm1077.serv00.net/anbo/index.php?id=304
寰宇財經,https://fm1077.serv00.net/anbo/index.php?id=2536
公視新聞,https://fm1077.serv00.net/anbo/index.php?id=20
寰宇臺灣,https://fm1077.serv00.net/anbo/index.php?id=87
年代新聞,https://fm1077.serv00.net/anbo/index.php?id=2719
年代新聞,https://fm1077.serv00.net/anbo/index.php?id=1099
壹新聞,https://fm1077.serv00.net/anbo/index.php?id=2777
壹新聞,https://fm1077.serv00.net/anbo/index.php?id=494
台視財經,https://fm1077.serv00.net/anbo/index.php?id=300
鏡新聞mnews,https://fm1077.serv00.net/anbo/index.php?id=463
三立国際,https://fm1077.serv00.net/anbo/index.php?id=2285
CBN News,https://fm1077.serv00.net/anbo/index.php?id=499
東森戲劇,https://fm1077.serv00.net/anbo/index.php?id=2825
東森戲劇,https://fm1077.serv00.net/anbo/index.php?id=321
八大戲劇,https://fm1077.serv00.net/anbo/index.php?id=81
緯來戲劇,https://fm1077.serv00.net/anbo/index.php?id=2727
緯來戲劇,https://fm1077.serv00.net/anbo/index.php?id=339
東森電影,https://fm1077.serv00.net/anbo/index.php?id=350
東森電影,https://fm1077.serv00.net/anbo/index.php?id=2720
緯來電影,https://fm1077.serv00.net/anbo/index.php?id=2728
HBO HD,https://fm1077.serv00.net/anbo/index.php?id=332
HBO HD,https://fm1077.serv00.net/anbo/index.php?id=2823
東森洋片,https://fm1077.serv00.net/anbo/index.php?id=1128
壹電影,https://fm1077.serv00.net/anbo/index.php?id=2284
好萊塢電影,https://fm1077.serv00.net/anbo/index.php?id=37
愛爾達影劇,https://fm1077.serv00.net/anbo/index.php?id=500
CineMAX,https://fm1077.serv00.net/anbo/index.php?id=346
靖天映畫,https://fm1077.serv00.net/anbo/index.php?id=349
靖洋戲劇,https://fm1077.serv00.net/anbo/index.php?id=319
緯來精彩,https://fm1077.serv00.net/anbo/index.php?id=2280
EYE戲劇,https://fm1077.serv00.net/anbo/index.php?id=191
三立戲劇,https://fm1077.serv00.net/anbo/index.php?id=64
三立戲劇,https://fm1077.serv00.net/anbo/index.php?id=2819
龍華偶像,https://fm1077.serv00.net/anbo/index.php?id=385
霹靂臺灣,https://fm1077.serv00.net/anbo/index.php?id=1339
靖天電影,https://fm1077.serv00.net/anbo/index.php?id=110
美亞電影,https://fm1077.serv00.net/anbo/index.php?id=375
HBOSignature,https://fm1077.serv00.net/anbo/index.php?id=329
HBOSignature,https://fm1077.serv00.net/anbo/index.php?id=2824
HBO Hits,https://fm1077.serv00.net/anbo/index.php?id=330
采昌影劇,https://fm1077.serv00.net/anbo/index.php?id=62
