央妈频道,#genre#
CCTV-1综合,http://113.109.55.170:6328/rtp/239.77.0.86:5146
CCTV-1综合,http://113.109.55.170:6328/rtp/239.77.1.17:5146
CCTV-1综合,http://113.109.55.170:6328/rtp/239.77.0.129:5146
CCTV-1综合,http://113.109.55.170:6328/rtp/239.77.1.144:5146
CCTV-1综合_标,http://113.109.55.170:6328/rtp/239.77.0.30:5146
CCTV-1综合_标,http://113.109.55.170:6328/rtp/239.77.1.20:5146
CCTV-1综合超清,http://113.109.55.170:6328/udp/239.77.0.129:5146
CCTV-2财*,http://113.109.55.170:6328/rtp/239.77.0.137:5146
CCTV-2财*,http://113.109.55.170:6328/rtp/239.77.1.158:5146
CCTV-2财*,http://113.109.55.170:6328/rtp/239.253.43.17:5146
CCTV-2财*_标,http://113.109.55.170:6328/rtp/239.77.0.31:5146
CCTV-2财*_标,http://113.109.55.170:6328/rtp/239.77.1.28:5146
CCTV-2财经高清,http://113.109.55.170:6328/udp/239.77.0.137:5146
CCTV-3综艺,http://113.109.55.170:6328/rtp/239.77.0.169:5146
CCTV-3综艺,http://113.109.55.170:6328/rtp/239.77.0.175:5146
CCTV-3综艺_标,http://113.109.55.170:6328/rtp/239.0.10.52:5052
CCTV-3综艺高清,http://113.109.55.170:6328/udp/239.77.0.175:5146
CCTV-4K超高清,http://113.109.55.170:6328/rtp/239.77.0.194:5146
CCTV-4K超高清,http://113.109.55.170:6328/rtp/239.77.0.174:5146
CCTV-4中文国际,http://113.109.55.170:6328/rtp/239.77.0.78:5146
CCTV-4中文国际,http://113.109.55.170:6328/rtp/239.77.1.163:5146
CCTV-4中文国际,http://113.109.55.170:6328/rtp/239.77.1.166:5146
CCTV-4中文国际_标,http://113.109.55.170:6328/rtp/239.77.0.33:5146
CCTV-4中文国际_标,http://113.109.55.170:6328/rtp/239.77.1.41:5146
CCTV-4中文国际高清,http://113.109.55.170:6328/udp/239.77.0.78:5146
CCTV-5体育,http://113.109.55.170:6328/rtp/239.77.0.170:5146
CCTV-5体育,http://113.109.55.170:6328/rtp/239.77.0.177:5146
CCTV-5体育_标,http://113.109.55.170:6328/rtp/239.0.10.53:5053
CCTV-5体育高清,http://113.109.55.170:6328/udp/239.77.0.177:5146
CCTV-5＋,http://113.109.55.170:6328/rtp/239.77.1.31:5146
CCTV-5＋,http://113.109.55.170:6328/rtp/239.77.1.147:5146
CCTV-5＋_标,http://113.109.55.170:6328/rtp/239.77.1.146:5146
CCTV-5＋体育赛事,http://113.109.55.170:6328/rtp/239.77.0.87:5146
CCTV-6电影,http://113.109.55.170:6328/rtp/239.77.0.171:5146
CCTV-6电影,http://113.109.55.170:6328/rtp/239.77.0.178:5146
CCTV-6电影_标,http://113.109.55.170:6328/rtp/239.0.10.54:5054
CCTV-6电影高清,http://113.109.55.170:6328/udp/239.77.0.171:5146
CCTV-7军事农业,http://113.109.55.170:6328/rtp/239.77.0.138:5146
CCTV-7国防军事,http://113.109.55.170:6328/rtp/239.77.1.159:5146
CCTV-7国防军事,http://113.109.55.170:6328/rtp/239.77.1.167:5146
CCTV-7国防军事_标,http://113.109.55.170:6328/rtp/239.77.0.36:5146
CCTV-7国防军事_标,http://113.109.55.170:6328/rtp/239.77.1.24:5146
CCTV-7国防军事高清,http://113.109.55.170:6328/udp/239.77.0.138:5146
CCTV-8K,http://113.109.55.170:6328/udp/239.253.43.106:5146
CCTV-8K超高清,http://113.109.55.170:6328/rtp/239.253.43.106:5146
CCTV-8电视剧,http://113.109.55.170:6328/rtp/239.77.0.172:5146
CCTV-8电视剧,http://113.109.55.170:6328/rtp/239.77.0.181:5146
CCTV-8电视剧_标,http://113.109.55.170:6328/rtp/239.0.10.55:5055
CCTV-8电视剧高清,http://113.109.55.170:6328/udp/239.77.0.181:5146
