央卫秒开,#genre#
CCTV-1,http://22725y284r.yicp.fun:9902/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://22725y284r.yicp.fun:9902/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://22725y284r.yicp.fun:9902/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://22725y284r.yicp.fun:9902/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://22725y284r.yicp.fun:9902/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://www.zzlag.top:9087/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-6,http://22725y284r.yicp.fun:9902/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://22725y284r.yicp.fun:9902/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://22725y284r.yicp.fun:9902/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://22725y284r.yicp.fun:9902/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://22725y284r.yicp.fun:9902/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://22725y284r.yicp.fun:9902/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://22725y284r.yicp.fun:9902/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://22725y284r.yicp.fun:9902/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://22725y284r.yicp.fun:9902/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://22725y284r.yicp.fun:9902/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
中央电视台,#genre#
CCTV1,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv1
CCTV1,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv1
CCTV2,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv2
CCTV3,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv3
CCTV4,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv4
CCTV5,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv5
CCTV5+,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv5p
CCTV6,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv6
CCTV7,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv7
CCTV8,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv8
CCTV9,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv9
CCTV10,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv10
CCTV11,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv11
CCTV12,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv12
CCTV13,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv13
14,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv14
CCTV15,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv15
CCTV16,http://www.erbao1981.top:8188/udp/239.76.246.98:1234
CCTV17,http://www.erbao1981.top:8188/udp/239.76.245.239:1234
CCTV-4k,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
CGTN,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN阿语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8
CGTN记录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CGTN欧洲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
卫视频道,#genre#
浙江卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=zjws
东方卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=dfws
辽宁卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=llws
北京卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=bjws
贵州卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=gzws
重庆卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cqws
云南卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=ynws
湖南卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hinws
安徽卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=ahws
优漫卡通,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=ymkt
江西卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=jxws
吉林卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=jlws
四海钓鱼,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=shdy
天津卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=tjws
卡酷动画,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=kkdh
广西卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=gxws
四川卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=scws
悍不畏死,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hbws
山西卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=sxws
江苏卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=jsws
东南卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=dnws
黑龙江卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hljws
广东卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=gdws
山东卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=sdws
湖南经视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hnjs
湖南卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hnws
金鹰卡通,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=jykt
金鹰纪实,http://v5.kuboys.top/apptov5/v3/barrage/get?vod_id=157150&vod_url=77&from=videojs
先锋乒羽,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=xfpy
湖南娱乐,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hnyl
湖南都市,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hnds
快乐垂钓,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=klcd
湖南娱乐高清,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hnyl
湖南娱乐都市,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hunds
湖南爱晚,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hnaw
深圳卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=szws
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
电影轮播,#genre#
林正英,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342421
周润发,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342387
五福星,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342386
周润发,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11602058
搞笑片,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11601968
抗日片,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352876
硬汉强森,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059581
日本电影,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11602034
美国大片,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342428
美国科幻,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059577
古装经典,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342427
古装剧场,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059595
港台剧场,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352962
香港直播,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11279247
战狼传说,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11602041
都市剧场,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059594
日韩剧场,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352934
科幻动作,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059552
七小福,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11601971
成龙电影,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342414
007,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059585
动漫轮播,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059592
港片轮播,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352877
港台轮播,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11602043
国产动作,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352973
周星驰,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11336587
动作枪战,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342390
邵氏影院,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11279251
任达华,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342429
搞笑港片,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11601972
投降输一半,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11342424
硬汉强森,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059588
古典搞笑,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352963
葵花宝典,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352963
梁家辉,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=880261
宫廷剧场,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059599
动作港片,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11601986
古装动作,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352941
经典港片,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11336719
泰国娱乐,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059578
盗墓笔记,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11602075
少儿动漫,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059587
二战空战,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=21059574
幼儿动漫,http://zy.otioi.cn/live/huya.php?token=EkShOWBY&id=11352974
