


4K频道,#genre#
纯享4K,http://api.wuenci.com:50001/TVOD/1000000004000011651/ystenlive/index.m3u8?ace
CCTV16 奥林匹克4K,http://api.wuenci.com:50001/TVOD/5000000008000023254/bestzb/index.m3u8?ace
SiTV欢笑剧场4K,http://api.wuenci.com:50001/TVOD/5000000007000010001/bestzb/index.m3u8?ace
华数4K,http://api.wuenci.com:50001/TVOD/6000000003000004748/wasusyt/index.m3u8?ace
华数4K,http://api.wuenci.com:50001/TVOD/2000000004000000014/hnbblive/index.m3u8?ace


央视频道,#genre#
CCTV1 综合,http://api.wuenci.com:50001/TVOD/6000000001000029752/wasusyt/index.m3u8?ace
CCTV1 综合,http://api.wuenci.com:50001/TVOD/1000000001000018602/ystenlive/index.m3u8?ace
CCTV1 综合,http://api.wuenci.com:50001/TVOD/5000000004000002226/bestzb/index.m3u8?ace
CCTV1 综合,http://api.wuenci.com:50001/TVOD/1000000005000265001/ystenlive/index.m3u8?ace
CCTV1 综合,http://api.wuenci.com:50001/TVOD/5000000010000030810/bestzb/index.m3u8?ace
CCTV1 综合,http://api.wuenci.com:50001/TVOD/1000000001000021973/ystenlive/index.m3u8?ace
CCTV2 财经,http://api.wuenci.com:50001/TVOD/6000000001000014161/wasusyt/index.m3u8?ace
CCTV2 财经,http://api.wuenci.com:50001/TVOD/1000000001000023315/ystenlive/index.m3u8?ace
CCTV2 财经,http://api.wuenci.com:50001/TVOD/5000000011000031101/bestzb/index.m3u8?ace
CCTV2 财经,http://api.wuenci.com:50001/TVOD/1000000005000265002/ystenlive/index.m3u8?ace
CCTV2 财经,http://api.wuenci.com:50001/TVOD/1000000001000012442/ystenlive/index.m3u8?ace
CCTV3 综艺,http://api.wuenci.com:50001/TVOD/6000000001000022313/wasusyt/index.m3u8?ace
CCTV3 综艺,http://api.wuenci.com:50001/TVOD/1000000001000013682/ystenlive/index.m3u8?ace
CCTV3 综艺,http://api.wuenci.com:50001/TVOD/5000000004000008883/bestzb/index.m3u8?ace
CCTV3 综艺,http://api.wuenci.com:50001/TVOD/1000000005000265003/ystenlive/index.m3u8?ace
CCTV3 综艺,http://api.wuenci.com:50001/TVOD/5000000002000020548/bestzb/index.m3u8?ace
CCTV3 综艺,http://api.wuenci.com:50001/TVOD/1000000001000011218/ystenlive/index.m3u8?ace
CCTV4 中文国际,http://api.wuenci.com:50001/TVOD/5000000011000031102/bestzb/index.m3u8?ace
CCTV4 中文国际,http://api.wuenci.com:50001/TVOD/1000000005000265004/ystenlive/index.m3u8?ace
CCTV4 中文国际,http://api.wuenci.com:50001/TVOD/1000000002000031664/ystenlive/index.m3u8?ace
CCTV4 中文国际,http://api.wuenci.com:50001/TVOD/5000000005000030093/bestzb/index.m3u8?ace
CCTV5 体育,http://api.wuenci.com:50001/TVOD/1000000005000025222/ystenlive/index.m3u8?ace
CCTV5 体育,http://api.wuenci.com:50001/TVOD/6000000001000016431/wasusyt/index.m3u8?ace
CCTV5 体育,http://api.wuenci.com:50001/TVOD/1000000003000030177/ystenlive/index.m3u8?ace
CCTV5 体育,http://api.wuenci.com:50001/TVOD/5000000004000008885/bestzb/index.m3u8?ace
CCTV5 体育,http://api.wuenci.com:50001/TVOD/1000000005000265005/ystenlive/index.m3u8?ace
CCTV5 体育,http://api.wuenci.com:50001/TVOD/5000000010000016619/bestzb/index.m3u8?ace
CCTV5 体育,http://api.wuenci.com:50001/TVOD/1000000001000004794/ystenlive/index.m3u8?ace
CCTV5+ 体育赛事,http://api.wuenci.com:50001/TVOD/6000000001000015875/wasusyt/index.m3u8?ace
CCTV5+ 体育赛事,http://api.wuenci.com:50001/TVOD/1000000001000018504/ystenlive/index.m3u8?ace
CCTV5+ 体育赛事,http://api.wuenci.com:50001/TVOD/5000000011000031127/bestzb/index.m3u8?ace
CCTV5+ 体育赛事,http://api.wuenci.com:50001/TVOD/1000000005000265016/ystenlive/index.m3u8?ace
CCTV5+ 体育赛事,http://api.wuenci.com:50001/TVOD/1000000001000020505/ystenlive/index.m3u8?ace
CCTV6 电影,http://api.wuenci.com:50001/TVOD/6000000001000004574/wasusyt/index.m3u8?ace
CCTV6 电影,http://api.wuenci.com:50001/TVOD/1000000001000001737/ystenlive/index.m3u8?ace
CCTV6 电影,http://api.wuenci.com:50001/TVOD/5000000004000008886/bestzb/index.m3u8?ace
CCTV6 电影,http://api.wuenci.com:50001/TVOD/1000000005000265006/ystenlive/index.m3u8?ace
CCTV6 电影,http://api.wuenci.com:50001/TVOD/5000000010000018433/bestzb/index.m3u8?ace
CCTV6 电影,http://api.wuenci.com:50001/TVOD/1000000001000016466/ystenlive/index.m3u8?ace
CCTV7 国防军事,http://api.wuenci.com:50001/TVOD/6000000001000009055/wasusyt/index.m3u8?ace
CCTV7 国防军事,http://api.wuenci.com:50001/TVOD/1000000001000024341/ystenlive/index.m3u8?ace
CCTV7 国防军事,http://api.wuenci.com:50001/TVOD/5000000011000031104/bestzb/index.m3u8?ace
CCTV7 国防军事,http://api.wuenci.com:50001/TVOD/1000000005000265007/ystenlive/index.m3u8?ace
CCTV7 国防军事,http://api.wuenci.com:50001/TVOD/1000000001000017218/ystenlive/index.m3u8?ace
CCTV7 国防军事,http://api.wuenci.com:50001/TVOD/5000000005000026715/bestzb/index.m3u8?ace
CCTV8 电视剧,http://api.wuenci.com:50001/TVOD/6000000001000001070/wasusyt/index.m3u8?ace
