央视频道,#genre#
CCTV1,http://175.173.198.22:9009/rtp/232.0.0.27:1234,1.83
CCTV1,http://175.173.198.22:9010/rtp/232.0.0.27:1234,1.28
CCTV1,http://175.173.198.22:9020/rtp/232.0.0.27:1234,1.23
CCTV1,http://221.219.79.161:4000/rtp/239.3.1.129:8008,1.01
CCTV1,http://114.246.96.72:4000/rtp/239.3.1.129:8008,1.01
CCTV1,http://123.121.2.167:4000/rtp/239.3.1.129:8008,1.0
CCTV1,http://111.196.129.152:20000/rtp/239.3.1.129:8008,0.83
CCTV1,http://114.252.238.87:8000/rtp/239.3.1.129:8008,0.79
CCTV1,http://123.118.229.243:9090/rtp/239.3.1.129:8008,0.78
CCTV1,http://123.118.159.0:8686/rtp/239.3.1.129:8008,0.73
CCTV1,http://60.2.190.206:4000/rtp/239.253.92.83:8012,0.69
CCTV1,http://115.171.216.209:4000/rtp/225.1.8.1:8008,0.65
CCTV1,http://175.173.198.22:9001/rtp/232.0.0.27:1234,0.63
CCTV1,http://222.128.86.76:8133/rtp/239.3.1.129:8008,0.62
CCTV1,http://123.113.187.204:8000/rtp/239.3.1.129:8008,0.61
CCTV1,http://123.113.189.90:8001/rtp/239.3.1.129:8008,0.61
CCTV1,http://114.243.110.0:4000/rtp/239.3.1.129:8008,0.61
CCTV1,http://222.129.139.229:8888/rtp/239.3.1.129:8008,0.61
CCTV1,http://175.146.122.104:8888/rtp/232.0.0.27:1234,0.6
CCTV1,http://114.254.85.102:8888/rtp/239.3.1.129:8008,0.6
CCTV1,http://60.10.106.114:555/rtp/239.253.92.83:8012,0.58
CCTV2,http://175.173.198.22:9009/rtp/232.0.0.135:1234,1.83
CCTV2,http://175.173.198.22:9010/rtp/232.0.0.135:1234,1.28
CCTV2,http://175.173.198.22:9020/rtp/232.0.0.135:1234,1.23
CCTV2,http://221.219.79.161:4000/rtp/239.3.1.60:8084,1.01
CCTV2,http://114.246.96.72:4000/rtp/239.3.1.60:8084,1.01
CCTV2,http://123.121.2.167:4000/rtp/239.3.1.60:8084,1.0
CCTV2,http://111.196.129.152:20000/rtp/239.3.1.60:8084,0.83
CCTV2,http://114.252.238.87:8000/rtp/239.3.1.60:8084,0.79
CCTV2,http://123.118.229.243:9090/rtp/239.3.1.60:8084,0.78
CCTV2,http://123.118.159.0:8686/rtp/239.3.1.60:8084,0.73
CCTV2,http://60.2.190.206:4000/rtp/239.253.92.190:6065,0.69
CCTV2,http://115.171.216.209:4000/rtp/225.1.8.2:8084,0.65
CCTV2,http://175.173.198.22:9001/rtp/232.0.0.135:1234,0.63
CCTV2,http://222.128.86.76:8133/rtp/239.3.1.60:8084,0.62
CCTV2,http://123.113.187.204:8000/rtp/239.3.1.60:8084,0.61
CCTV2,http://123.113.189.90:8001/rtp/239.3.1.60:8084,0.61
CCTV2,http://114.243.110.0:4000/rtp/239.3.1.60:8084,0.61
CCTV2,http://222.129.139.229:8888/rtp/239.3.1.60:8084,0.61
CCTV2,http://175.146.122.104:8888/rtp/232.0.0.135:1234,0.6
CCTV2,http://114.254.85.102:8888/rtp/239.3.1.60:8084,0.6
CCTV2,http://60.10.106.114:555/rtp/239.253.92.190:6065,0.58
CCTV3,http://175.173.198.22:9009/rtp/232.0.0.170:1234,1.83
CCTV3,http://175.173.198.22:9010/rtp/232.0.0.170:1234,1.28
CCTV3,http://175.173.198.22:9020/rtp/232.0.0.170:1234,1.23
CCTV3,http://221.219.79.161:4000/rtp/239.3.1.172:8001,1.01
CCTV3,http://114.246.96.72:4000/rtp/239.3.1.172:8001,1.01
CCTV3,http://123.121.2.167:4000/rtp/239.3.1.172:8001,1.0
CCTV3,http://111.196.129.152:20000/rtp/239.3.1.172:8001,0.83
CCTV3,http://114.252.238.87:8000/rtp/239.3.1.172:8001,0.79
CCTV3,http://123.118.229.243:9090/rtp/239.3.1.172:8001,0.78
CCTV3,http://123.118.159.0:8686/rtp/239.3.1.172:8001,0.73
CCTV3,http://60.2.190.206:4000/rtp/239.253.92.191:6057,0.69
CCTV3,http://115.171.216.209:4000/rtp/225.1.8.88:8000,0.65
CCTV3,http://175.173.198.22:9001/rtp/232.0.0.170:1234,0.63
CCTV3,http://222.128.86.76:8133/rtp/239.3.1.172:8001,0.62
